sample_id	cell_type	count	total	relative_freq
0	b_cell	10908	93214	0.11702104834037806
0	cd8_t_cell	24440	93214	0.2621923745360139
0	cd4_t_cell	20491	93214	0.2198274937241187
0	nk_cell	13864	93214	0.14873302293646878
0	monocyte	23511	93214	0.2522260604630206
1	b_cell	6777	100824	0.06721613901452035
1	cd8_t_cell	19407	100824	0.19248393239704834
1	cd4_t_cell	33459	100824	0.331855510592716
1	nk_cell	18170	100824	0.18021502816789653
1	monocyte	23011	100824	0.22822938982781876
2	b_cell	9794	92822	0.10551377906099847
2	cd8_t_cell	22940	92822	0.24713968671220185
2	cd4_t_cell	24274	92822	0.26151127965353044
2	nk_cell	17482	92822	0.1883389713645472
2	monocyte	18332	92822	0.19749628320872206
3	b_cell	10081	93160	0.10821167883211678
3	cd8_t_cell	20271	93160	0.21759338772005152
3	cd4_t_cell	36157	93160	0.3881172176899957
3	nk_cell	14041	93160	0.1507191927866037
3	monocyte	12610	93160	0.1353585229712323
4	b_cell	4372	107903	0.0405178725336645
4	cd8_t_cell	33778	107903	0.3130404159291215
4	cd4_t_cell	38293	107903	0.35488355282058887
4	nk_cell	16527	107903	0.153165342946906
4	monocyte	14933	107903	0.1383928157697191
5	b_cell	15431	105359	0.1464611471255422
5	cd8_t_cell	31940	105359	0.30315397830275537
5	cd4_t_cell	30805	105359	0.2923812868383337
5	nk_cell	11404	105359	0.10823944798261183
5	monocyte	15779	105359	0.14976413975075695
6	b_cell	5897	99774	0.059103574077414955
6	cd8_t_cell	31296	99774	0.3136688916952312
6	cd4_t_cell	28319	99774	0.28383145909756047
6	nk_cell	12656	99774	0.1268466734820695
6	monocyte	21606	99774	0.21654940164772385
7	b_cell	10403	98424	0.10569576526050557
7	cd8_t_cell	13504	98424	0.13720230838006992
7	cd4_t_cell	33870	98424	0.344123384540356
7	nk_cell	22616	98424	0.22978135414126635
7	monocyte	18031	98424	0.18319718767780216
8	b_cell	8829	90353	0.09771673325733513
8	cd8_t_cell	26215	90353	0.29013978506524407
8	cd4_t_cell	21307	90353	0.23581950793000786
8	nk_cell	17624	90353	0.19505716467632508
8	monocyte	16378	90353	0.18126680907108783
9	b_cell	7650	95821	0.0798363615491385
9	cd8_t_cell	33334	95821	0.3478778138403899
9	cd4_t_cell	21097	95821	0.22017094373884638
9	nk_cell	18064	95821	0.18851817451289382
9	monocyte	15676	95821	0.1635967063587314
10	b_cell	13203	107537	0.12277634674577122
10	cd8_t_cell	21339	107537	0.19843402735802562
10	cd4_t_cell	27873	107537	0.2591945097966281
10	nk_cell	13209	107537	0.12283214149548527
10	monocyte	31913	107537	0.29676297460408974
11	b_cell	10621	89815	0.11825418916662027
11	cd8_t_cell	19786	89815	0.22029727773757168
11	cd4_t_cell	29391	89815	0.3272393252797417
11	nk_cell	13520	89815	0.15053164838835384
11	monocyte	16497	89815	0.18367755942771252
12	b_cell	14128	109579	0.1289298131941339
12	cd8_t_cell	21720	109579	0.19821316128090236
12	cd4_t_cell	40320	109579	0.3679537137590232
12	nk_cell	14609	109579	0.13331934038456272
12	monocyte	18802	109579	0.17158397138137782
13	b_cell	10681	109488	0.09755406985240392
13	cd8_t_cell	19994	109488	0.18261361975741633
13	cd4_t_cell	31697	109488	0.2895020458863072
13	nk_cell	25043	109488	0.22872826245798628
13	monocyte	22073	109488	0.2016020020458863
14	b_cell	6113	92904	0.06579910445190734
14	cd8_t_cell	25851	92904	0.27825497287522605
14	cd4_t_cell	27223	92904	0.2930229053646775
14	nk_cell	9254	92904	0.09960819770946354
14	monocyte	24463	92904	0.26331481959872555
15	b_cell	8261	102691	0.08044521915260344
15	cd8_t_cell	21523	102691	0.209589934853103
15	cd4_t_cell	36217	102691	0.3526793974155476
15	nk_cell	15753	102691	0.15340195343311488
15	monocyte	20937	102691	0.20388349514563106
16	b_cell	7433	95824	0.07756929370512607
16	cd8_t_cell	22881	95824	0.2387815161128736
16	cd4_t_cell	33881	95824	0.3535753047253298
16	nk_cell	9432	95824	0.09843045583569879
16	monocyte	22197	95824	0.23164342962097179
17	b_cell	3226	98639	0.0327051166374355
17	cd8_t_cell	20404	98639	0.206855300641734
17	cd4_t_cell	36405	98639	0.3690730846825292
17	nk_cell	20739	98639	0.2102515232311763
17	monocyte	17865	98639	0.18111497480712496
18	b_cell	3578	101123	0.03538265280895543
18	cd8_t_cell	29520	101123	0.291921719094568
18	cd4_t_cell	32675	101123	0.3231213472701561
18	nk_cell	15537	101123	0.1536445714624764
18	monocyte	19813	101123	0.19592970936384402
19	b_cell	8022	97405	0.08235716852317643
19	cd8_t_cell	27175	97405	0.2789897849186387
19	cd4_t_cell	30759	97405	0.3157846106462707
19	nk_cell	10983	97405	0.11275601868487244
19	monocyte	20466	97405	0.21011241722704174
20	b_cell	6382	97228	0.06563952770806764
20	cd8_t_cell	17469	97228	0.1796704652980623
20	cd4_t_cell	32731	97228	0.3366417081499157
20	nk_cell	18056	97228	0.18570782079236434
20	monocyte	22590	97228	0.23234047805159008
21	b_cell	10337	100750	0.10260049627791563
21	cd8_t_cell	19144	100750	0.190014888337469
21	cd4_t_cell	31535	100750	0.31300248138957815
21	nk_cell	12763	100750	0.12667990074441687
21	monocyte	26971	100750	0.26770223325062037
22	b_cell	9563	92670	0.10319412970756447
22	cd8_t_cell	22424	92670	0.2419769073054926
22	cd4_t_cell	32814	92670	0.35409517643250243
22	nk_cell	11565	92670	0.12479766914859178
22	monocyte	16304	92670	0.17593611740584872
23	b_cell	6924	104960	0.06596798780487804
23	cd8_t_cell	28080	104960	0.26753048780487804
23	cd4_t_cell	29844	104960	0.28433689024390246
23	nk_cell	15792	104960	0.15045731707317073
23	monocyte	24320	104960	0.23170731707317074
24	b_cell	7552	99969	0.07554341845972251
24	cd8_t_cell	27821	99969	0.27829627184427175
24	cd4_t_cell	35270	99969	0.35280937090498055
24	nk_cell	19681	99969	0.19687103001930598
24	monocyte	9645	99969	0.09647990877171923
25	b_cell	11714	95534	0.12261603198861139
25	cd8_t_cell	21407	95534	0.22407729185420897
25	cd4_t_cell	30323	95534	0.31740532166558505
25	nk_cell	20301	95534	0.21250026168693867
25	monocyte	11789	95534	0.12340109280465593
26	b_cell	7936	95777	0.08285914154755317
26	cd8_t_cell	23786	95777	0.24834772440147426
26	cd4_t_cell	34545	95777	0.360681583261117
26	nk_cell	13929	95777	0.14543157543042692
26	monocyte	15581	95777	0.16267997535942869
27	b_cell	8850	93164	0.0949937744193036
27	cd8_t_cell	21268	93164	0.22828560388132754
27	cd4_t_cell	26079	93164	0.279925722382036
27	nk_cell	18191	93164	0.1952578249109098
27	monocyte	18776	93164	0.20153707440642307
28	b_cell	11386	106062	0.10735230336972713
28	cd8_t_cell	28155	106062	0.26545793969564974
28	cd4_t_cell	28400	106062	0.2677679093360487
28	nk_cell	8870	106062	0.08363032942995606
28	monocyte	29251	106062	0.27579151816861835
29	b_cell	5606	97156	0.057701016921240064
29	cd8_t_cell	28476	97156	0.29309564000164684
29	cd4_t_cell	31305	97156	0.3222137593149162
29	nk_cell	15860	97156	0.16324262011610194
29	monocyte	15909	97156	0.16374696364609495
30	b_cell	6413	93972	0.06824373217554165
30	cd8_t_cell	25167	93972	0.2678138168816243
30	cd4_t_cell	20437	93972	0.21747967479674796
30	nk_cell	22317	93972	0.23748563401864384
30	monocyte	19638	93972	0.20897714212744223
31	b_cell	7007	106625	0.06571629542790153
31	cd8_t_cell	30482	106625	0.2858804220398593
31	cd4_t_cell	31653	106625	0.296862837045721
31	nk_cell	14167	106625	0.13286752637749122
31	monocyte	23316	106625	0.21867291910902698
32	b_cell	11118	101357	0.10969148652781752
32	cd8_t_cell	19704	101357	0.19440196533046558
32	cd4_t_cell	32582	101357	0.32145781741764257
32	nk_cell	20603	101357	0.20327160432925204
32	monocyte	17350	101357	0.17117712639482227
33	b_cell	9054	93131	0.09721789737037077
33	cd8_t_cell	31679	93131	0.34015526516412364
33	cd4_t_cell	24897	93131	0.2673331114236935
